!Source	"The Drug Repurposing Hub, Broad Institute"				
!URL	http://www.broadinstitute.org/repurposing				
!File_date	8/18/2025				
!Table_name	drug_information				
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
!Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
navoximod	Phase 1	"indoleamine 2,3-dioxygenase inhibitor"	IDO1	oncology	melanoma
naxagolide	Phase 3	dopamine receptor agonist	DRD2		
NB-001	Preclinical	antiviral			
N-benzylnaltrindole	Preclinical	opioid receptor antagonist			
NBI-27914	Preclinical	corticotropin releasing factor receptor antagonist	CRHR1		
NBI-74330-(+/-)	Preclinical	CC chemokine receptor antagonist	CXCR3		
NBI-98782	Preclinical	vesicular monoamine transporter inhibitor	SLC18A2		
NBQX	Preclinical	glutamate receptor antagonist	GRIA1 | GRIA2 | GRIA3 | GRIA4 | GRIK1 | GRIN1 | GRIN2A | GRIN2B		
ncs-382	Preclinical	gaba receptor antagonist		Neurology	epilepsy
NCS-382	Preclinical	GABA receptor antagonist	GABBR1 | GABBR2 | SLC52A2		
NCX-1015	Preclinical	interleukin sythesis stimulator			
N-cyclohexyl-2-benzothiazolesulfenamide	Preclinical				
NDD-094	Preclinical				
NDT-9513727	Preclinical	complement antagonist	C5AR1		
NE-100	Phase 2	sigma receptor antagonist	SIGMAR1		
nebivolol	Launched	adrenergic receptor antagonist	ADRB1	cardiology	hypertension
nebivolol hydrochloride		adrenergic receptor antagonist	ADRB1	cardiology	hypertension
nebracetam	Phase 3	acetylcholine receptor agonist	CHRM1		
NECA	Launched	adenosine receptor agonist	ADORA1 | ADORA2A | ADORA2B | ADORA3		
necrostatin-1	Preclinical	RIPK inhibitor	IDO1 | KRR1 | RIPK1		
necrostatin-2	Preclinical	necroptosis inhibitor | RIPK inhibitor	KRR1 | RIPK2		
nedaplatin	Launched	DNA inhibitor		oncology | oncology | oncology | oncology	"esophageal cancer | non-small cell lung cancer (NSCLC) | non-small cell lung cancer (nsclc), small cell lung cancer, esophageal cancer | small cell lung cancer"
nedocromil	Launched	histamine receptor antagonist	CYSLTR1 | CYSLTR2 | FPR1 | HSP90AA1 | PTGDR	neurology/psychiatry | ophthalmology	conjunctivitis | itching
nefazodone	Withdrawn	adrenergic inhibitor | norepinephrine reuptake inhibitor | serotonin receptor antagonist | serotonin reuptake inhibitor	ADRA1A | ADRA1B | ADRA2A | CYP3A4 | CYP3A5 | CYP3A7 | HTR1A | HTR2A | HTR2C | SLC6A2 | SLC6A3 | SLC6A4		
nefiracetam	Phase 3	acetylcholine receptor agonist | benzodiazepine receptor agonist	CHAT | CHRM1		
nefopam	Launched	cyclooxygenase inhibitor		neurology/psychiatry	pain relief
nelarabine	Launched	DNA synthesis inhibitor | T cell inhibitor	ADA | POLA1	hematologic malignancy	acute lymphoblastic leukemia (ALL)
nelfinavir	Launched	HIV protease inhibitor	CYP1A2 | CYP2B6 | CYP2C19 | CYP2C9 | CYP2D6 | CYP3A4 | CYP3A5 | CYP3A7	infectious disease	human immunodeficiency virus (HIV-1)
nelociguat	Preclinical	guanylate cyclase stimulant	GUCY1A1		
nelotanserin	Phase 2	serotonin receptor inverse agonist	HTR2A		
nemazoline	Phase 2	adrenergic receptor agonist | adrenergic receptor antagonist			
nemiralisib	Phase 2		PIK3CD		
nemonapride	Launched	dopamine receptor antagonist	DRD2 | DRD3 | DRD4	neurology/psychiatry	schizophrenia
nemorexant	Preclinical	orexin receptor antagonist	HCRTR1 | HCRTR2		
nemorubicin	Phase 2	topoisomerase inhibitor	TOP1 | TOP2A		
neo-gilurytmal	Launched			cardiology	cardiac arrythmia
neohesperidin	Preclinical				
neohesperidin-dihydrochalcone	Preclinical				
neomycin	Launched	bacterial 30S ribosomal subunit inhibitor	CXCR4	gastroenterology | infectious disease | infectious disease	first-aid antibiotic | hepatic encephalopathy (HE) | intra-abdominal infections
neostigmine	Launched	acetylcholinesterase inhibitor	ACHE	neurology/psychiatry	myasthenia gravis
nepafenac	Launched	cyclooxygenase inhibitor	PTGS1 | PTGS2	ophthalmology	eye inflammation
nepicastat	Phase 2	dopamine beta hydroxylase inhibitor	DBH		
nepinalone	Preclinical	antitussive	SIGMAR1	pulmonary	cough suppressant
neratinib	Launched	EGFR inhibitor	EGFR | ERBB2 | ERBB4 | KDR	oncology	breast cancer
nerbacadol	Phase 3	cyclooxygenase inhibitor			
neridronic-acid	Launched	bone resorption inhibitor	FDPS	endocrinology | endocrinology	brittle bone disease | Paget's disease
nesbuvir	Phase 2	RNA polymerase inhibitor			
netarsudil	Launched	rho associated kinase inhibitor	ROCK2	ophthalmology	ocular hypertension
neticonazole	Preclinical	other antifungal		infectious disease	fungal infection
netilmicin	Launched	protein synthesis inhibitor		infectious disease	gram-negative bacterial infections
netilmicin sulfate	Launched	protein synthesis inhibitor		infectious disease	gram-negative bacterial infections
netilmicin (sulfate)					
netupitant	Launched	neurokinin receptor antagonist | tachykinin antagonist	TACR1	gastroenterology | gastroenterology	nausea | vomiting
Neu2000	Phase 2	ionotropic glutamate receptor antagonist	GRIN1 | GRIN2A | GRIN2B | GRIN2C | GRIN2D | GRIN3A | GRIN3B		
neurodazine	Preclinical	neurogenesis of non-pluripotent C2C12 myoblast inducer			
neuropathiazol	Preclinical	neural stem cell inducer	BMP2 | LIF		
nevanimibe	Phase 2				
nevanimibe hydrochloride	Phase 2	acat inhibitor	ACAT1	endocrinology	congenital adrenal hyperplasia
nevirapine	Launched	non-nucleoside reverse transcriptase inhibitor	CYP1A2 | CYP2A6 | CYP2B6 | CYP2C19 | CYP2C9 | CYP2D6 | CYP3A4 | CYP3A5	infectious disease	human immunodeficiency virus (HIV-1)
nexturastat-A	Preclinical	HDAC inhibitor	HDAC1 | HDAC6		
NFKB-activation-inhibitor-II	Preclinical	NFkB pathway inhibitor	RELA		
NGB-2904	Preclinical	dopamine receptor antagonist	DRD3		
NGD-94-1	Phase 1	dopamine receptor antagonist	DRD4		
NGD-98-2	Preclinical	corticotropin releasing factor receptor antagonist	CRHR1		
NG-nitro-arginine	Phase 1	nitric oxide synthase inhibitor	NOS1 | NOS2 | NOS3		
NGP555	Phase 1	gamma secretase modulator	APH1A | APH1B		
NH125	Preclinical	eukaryotic translation elongation factor 2 inhibitor			
NHI-2	Preclinical	lactate dehydrogenase inhibitor	LDHA		
N-hydroxynicotinamide	Preclinical				
NI-57	Preclinical	bromodomain inhibitor	BRD1 | BRPF1 | BRPF3		
niacin	Launched	NAD precursor | vitamin B	DGAT2 | HCAR1 | HCAR2 | HCAR3 | NNMT | QPRT	endocrinology	hypertriglyceridemia
nialamide	Withdrawn	monoamine oxidase inhibitor	COMT | MAOA | MAOB		
nibentan	Phase 2	potassium channel blocker			
nicainoprol	Preclinical	angiotensin converting enzyme inhibitor	ACE | ACE2 | SCN5A		
nicaraven	Phase 3	free radical scavenger			
nicardipine	Launched	calcium channel blocker	ADORA3 | CACNA1C	cardiology | cardiology	chronic stable angina | hypertension
nicardipine hydrochloride	Launched	potassium channel blocker	KCND2 | KCND3	Cardiology	angina pectoris
nicergoline	Launched	adrenergic receptor antagonist	ADRA1A	cardiology | hematology | neurology/psychiatry | rheumatology	atherosclerosis | migraine headache | Raynaud's disease | thrombosis
niceritrol	Launched	NAD precursor	HCAR2	endocrinology	hyperlipidemia
niclosamide	Launched	DNA replication inhibitor | STAT inhibitor	STAT3	infectious disease	tapeworm
nicodicosapent	Preclinical	sterol regulatory element binding protein (SREBP) inhibitor	SREBF1 | SREBF2		
nicorandil	Launched	nitric oxide donor | potassium channel activator	ABCC9 | KCNJ11 | KCNJ8	cardiology	angina pectoris
nicotinamide	Launched	protein synthesis stimulant	AOX1 | BST1 | CYP2E1 | LDHA | PARP1 | SIRT5	dermatology	acne vulgaris (AV)
nicotinamide riboside	Phase 3	sirt activator	SIRT1	cardiology	cardiomyopathy
nicotine	Launched	acetylcholine receptor agonist	AOX1 | CHAT | CHRNA10 | CHRNA2 | CHRNA3 | CHRNA4 | CHRNA5 | CHRNA6 | CHRNA7 | CHRNA9 | CHRNB2 | CHRNB3 | CHRNB4 | CYP19A1 | CYP2B6 | TBXAS1 | TRPA1	neurology/psychiatry	smoking cessation
nicotine bitartrate	Launched	nicotinic receptor agonist	NACHR	Smoking	smoking cessation
nicotinyl-alcohol-tartrate	Launched			cardiology | neurology/psychiatry	vascular spasm | vertigo
NIDA-41020	Preclinical	cannabinoid receptor antagonist	CNR1		
nidufexor	Phase 2	fxr agonist	NR1H4	gastroenterology	non-alcoholic steatohepatitis (nash)
nifedipine	Launched	calcium channel blocker	CACNA1C | CACNA1D | CACNA1F | CACNA1H | CACNA1S | CACNA2D1 | CACNB2 | CALM1 | CYP3A5 | GLRA1 | GLRA3 | GLRB | KCNA1 | KCNA5 | NR1I2 | TRPM3	cardiology | cardiology	chronic stable angina | vasospastic angina
nifekalant	Launched	potassium channel blocker		cardiology | cardiology	ventricular arrhythmias | ventricular tachycardia (VT)
nifenalol	Launched	adrenergic receptor antagonist	ADRB1 | ADRB2		
nifenazone	Launched	analgesic agent		neurology/psychiatry	pain relief
niflumic-acid	Launched	cyclooxygenase inhibitor	ANO1 | CLCN1 | CLCNKA | CLCNKB | KCNQ1 | PLA2G1B | PLA2G4A | PTGS1 | PTGS2 | UGT1A9	neurology/psychiatry | rheumatology	joint pain | muscle pain
nifuroxazide	Launched	bacterial DNA inhibitor		gastroenterology | gastroenterology	colitis | diarrhea
nifursol	Launched	bacterial DNA inhibitor			
nifurtimox	Launched	DNA inhibitor		infectious disease | infectious disease | infectious disease	"African trypanosomiasis | Chagas disease | chagas disease, african trypanosomiasis"
niguldipine-(R)-(-)	Preclinical				
niguldipine-(S)-(+)	Preclinical	adrenergic receptor antagonist	ADRA1A		
nikethamide	Withdrawn	immunostimulant			
nilotinib	Launched	Abl kinase inhibitor | Bcr-Abl kinase inhibitor	ABL1 | BCR | CYP2B6 | CYP2C8 | DDR1 | DDR2 | KIT | PDGFRA	hematologic malignancy	chronic myeloid leukemia (CML)
nilutamide	Launched	androgen receptor antagonist	AR | CYP2C19	oncology	prostate cancer
nilvadipine	Launched	calcium channel blocker	CACNA1C | CACNA1D | CACNA1G	cardiology | cardiology	cerebral artery occlusion | hypertension
NIM811	Phase 2	mitochondrial permeability transition inhibitor			
nimesulide	Launched	cyclooxygenase inhibitor	LTF | PLA2G2E | PTGS1 | PTGS2	obstetrics/gynecology | rheumatology	menstrual pain | osteoarthritis
nimodipine	Launched	calcium channel blocker	CACNA1C | CFTR | NR3C2	hematology	hemorrhage
nimorazole	Launched	bacterial DNA inhibitor		oncology	head and neck squamous cell carcinoma (HNSCC)
nimustine	Phase 2	DNA alkylating agent | dna damage inducer		oncology	brain tumors
ningetinib-tosylate	Preclinical	protein tyrosine kinase inhibitor	AXL | KDR | MET		
nintedanib	Launched	FGFR inhibitor | PDGFR tyrosine kinase receptor inhibitor | VEGFR inhibitor	FGFR1 | FGFR2 | FGFR3 | FGFR4 | FLT1 | FLT4 | KDR | LYN | PDGFRA | PDGFRB	pulmonary	idiopathic pulmonary fibrosis (IPF)
niraparib	Launched	PARP inhibitor	PARP1 | PARP2	oncology	primary peritoneal cancer (PPC)
niridazole	Launched	phosphofructokinase inhibitor		infectious disease	schistosomiasis
nisin	Phase 1	bacterial cell wall synthesis inhibitor			
nisoldipine	Launched	calcium channel blocker	A1BG | CACNA1C | CACNA1D | CACNA1F | CACNA1S | CYP3A5	cardiology	hypertension
nisoxetine	Phase 1	norepinephrine reuptake inhibitor	SLC6A2 | SLC6A3 | SLC6A4		
nisoxetine hydrochloride	Phase 1	norepinephrine reuptake inhibitor	SLC6A2 | SLC6A3 | SLC6A4		
nitarsone	Launched			dermatology	blackhead disease
nitazoxanide	Launched	pyruvate ferredoxin oxidoreductase inhibitor		gastroenterology	diarrhea
nitecapone	Phase 2	catechol O methyltransferase inhibitor	COMT		
nitenpyram	Launched			infectious disease	flea control
nithiamide	Preclinical	bacterial DNA inhibitor			
nitisinone	Launched	hydroxyphenylpyruvate dioxygenase inhibitor	HPD	metabolism	tyrosinemia
nitrendipine	Launched	calcium channel blocker	CACNA1C | CACNA1D | CACNA2D1 | KCNN4	cardiology	hypertension
nitrocaramiphen	Preclinical	cholinergic receptor antagonist	CHRM1		
nitroflurbiprofen	Preclinical	cyclooxygenase inhibitor	NOS2 | PTGS1 | PTGS2		
nitrofurantoin	Launched	DNA inhibitor		infectious disease | infectious disease	pyelonephritis | urinary tract infections
nitrofurazone	Launched	bacterial DNA inhibitor		infectious disease	first-aid antibiotic
nitromide	Launched			infectious disease	coccidiosis
nitroscanate	Launched	anthelmintic agent		infectious disease	hookworm
nitrosodimethylurea	Preclinical	DNA synthesis inhibitor			
nitroxoline	Launched	cathepsin inhibitor	CTSB | METAP1 | METAP2 | SIRT1	infectious disease	urinary tract infections
nizatidine	Launched	histamine receptor antagonist	HRH2	gastroenterology | gastroenterology | gastroenterology | gastroenterology	duodenal ulcer disease | erosive esophagitis (EE) | gastroesophageal reflux disease (GERD) | ulcerative esophagitis (UE)
nizofenone	Launched	ion channel antagonist		neurology/psychiatry	stroke
NK-252	Preclinical	"nuclear factor erythroid derived, like (NRF2) activator"	NFE2L2		
nkp-1339	Phase 1	hsp inhibitor			
NKP-1339	Phase 1	HSP inhibitor			
NKY-80	Preclinical	adenylyl cyclase inhibitor	ADCY5		
NLG919	Phase 1	"indoleamine 2,3-dioxygenase inhibitor"	IDO1		
nm107	Phase 2	rna polymerase inhibitor			
NM107	Phase 2	RNA polymerase inhibitor			
NMDA	Preclinical	glutamate receptor agonist	GRIN1 | GRIN2A | GRIN2B | GRIN2C | GRIN2D		
"N-methyl-(-)ephedrine-[1R,2S]"	Preclinical				
N-methylformamide	Phase 2				
N-methyllidocaine-iodide	Preclinical	antiarrhythmic medication			
N-methylpyrrolidone	Phase 1				
N-methylquipazine	Preclinical	serotonin receptor agonist			
N-MPPP	Preclinical	opioid receptor agonist			
NMS-1286937	Phase 2	PLK inhibitor	FLT3 | PLK1 | PLK2 | PLK3		
NMS-873	Preclinical	ATPase inhibitor	VCP		
NMS-E973	Preclinical	HSP inhibitor			
NMS-P715	Preclinical	protein kinase inhibitor	TTK		
NNC-05-2090	Preclinical	GABA uptake inhibitor | GAT inhibitor	SLC6A11 | SLC6A12 | SLC6A13		
NNC-55-0396	Preclinical	T-type calcium channel blocker	CATSPER1 | CATSPER2 | CATSPER3 | CATSPER4		
NNC-63-0532	Preclinical	opioid receptor agonist	OPRL1		
NNC-711	Preclinical	GABA uptake inhibitor	SIGMAR1 | SLC6A1		
NN-DNJ	Preclinical	glucosidase inhibitor	AGL | GBA | MGAM		
NO-ASA	Phase 2	cyclooxygenase inhibitor	IKBKB | INS | PTGS1 | PTGS2		
nobiletin	Preclinical	MEK inhibitor	ABCB1 | MAP2K1 | TYR		
nocodazole	Preclinical	tubulin polymerization inhibitor	HPGDS		
nolatrexed	Phase 3	thymidylate synthase inhibitor	TYMS		
nomegestrol-acetate	Launched	progesterone receptor agonist	PGR	endocrinology	contraceptive
nomifensine	Launched	dopamine reuptake inhibitor | noradrenaline uptake inhibitor	DRD2 | SLC6A2 | SLC6A3	Antidepressant	depression
nonivamide	Launched	TRPV agonist	TRPV1	neurology/psychiatry | rheumatology	muscle pain | rheumatoid arthritis
nonoxinol 9	Launched				contraceptive
nonoxynol-9	Launched	membrane integrity inhibitor		endocrinology	contraceptive
nor-binaltorphimine	Preclinical	opioid receptor antagonist	OPRD1 | OPRK1 | OPRM1		
norcyclobenzaprine	Preclinical	adrenergic receptor agonist | serotonin receptor antagonist			
norelgestromin	Launched		PGR	endocrinology	contraceptive
norepinephrine	Launched	adrenergic receptor agonist	ADRA1A | ADRA1B | ADRA1D | ADRA2A | ADRA2B | ADRA2C | ADRB1 | ADRB2 | ADRB3 | PAH | SLC18A1 | SLC18A2	allergy | cardiology | neurology/psychiatry | neurology/psychiatry	headache | hypertension | seasonal affective disorder | urticaria
norethindrone	Launched	progesterone receptor agonist	PGR	obstetrics/gynecology	endometriosis
norethindrone acetate	Launched	progesterone receptor agonist	PGR	"endocrinology, orthopedics, obstetrics/gynecology"	"menopause, osteoporosis, vaginal atrophy"
norethindrone-acetate	Launched	progesterone receptor agonist	PGR	endocrinology | obstetrics/gynecology | orthopedics	menopause | osteoporosis | vaginal atrophy
norethisterone-enanthate	Launched	contraceptive agent		endocrinology	contraceptive
noretynodrel	Launched	progestogen hormone	PGR	endocrinology	contraceptive
norfloxacin	Launched	bacterial DNA gyrase inhibitor	TOP2A	infectious disease | infectious disease | urology	gonorrhea | prostatitis | urinary tract infections
norfluoxetine	Phase 1	selective serotonin reuptake inhibitor (SSRI)	HTR2B		
norgestimate	Launched	progesterone receptor agonist	ESR1 | PGR	endocrinology	contraceptive
norgestrel	Launched	progesterone receptor agonist	AR | CYP2E1 | ESR1 | PGR | SRD5A1	endocrinology	contraceptive
nornicotine	Preclinical	acetylcholine receptor agonist			
nortriptyline	Launched	tricyclic antidepressant	ADRA1A | ADRA1B | ADRA1D | ADRA2A | ADRA2B | ADRA2C | ADRB1 | ADRB2 | ADRB3 | CHRM1 | CHRM2 | CHRM3 | CHRM4 | CHRM5 | CYP2C19 | DRD2 | HRH1 | HTR1A | HTR2A | HTR2C | HTR6 | KCNJ10 | PGRMC1 | PIK3CD | SIGMAR1 | SLC6A2 | SLC6A4	neurology/psychiatry	depression
norvancomycin	Preclinical				
noscapine	Launched	bradykinin receptor antagonist | tubulin polymerization inhibitor	BDKRB2 | SIGMAR1	pulmonary	cough suppressant
noscapine hydrochloride	Launched	"bradykinin receptor antagonist, tubulin polymerization inhibitor"	SIGMAR1	pulmonary	cough suppressant
NOV-002	Phase 3		GSR		
novobiocin	Launched	bacterial DNA gyrase inhibitor		obstetrics/gynecology	mastitis
N-oxydiethylenebenzothiazole-2-sulfenamide	Preclinical				
N-(p-amylcinnamoyl)-anthranilic-acid	Preclinical	phospholipase inhibitor	TRPC6 | TRPM2 | TRPM8		
NPC-01	Phase 3	steroid			
NPC-15199	Phase 2	ICAM1 antagonist	ICAM1 | PPARG		
np-g2-044	Phase 1		PDCD1	oncology	breast cancer
NPPB	Preclinical	chloride channel blocker	ANO1 | CLCN2 | CLCN7 | TRPA1		
NPS-2143	Preclinical	calcium receptor antagonist	CASR | PTH		
NPS-2407	Preclinical	glutamate receptor antagonist			
NPY-5RA972	Preclinical	neuropeptide receptor antagonist	NPY5R		
NQDI-1	Preclinical	caspase inhibitor	CASP3 | MAP3K5		
nrc-2694	Phase 1	anticancer agent	EGFR	oncology	non-small cell lung cancer (nsclc)
NS-018	Phase 1/Phase 2	JAK inhibitor	JAK1 | JAK2 | JAK3 | TYK2		
NS-11021	Preclinical	calcium-activated potassium channel activator	KCNMA1		
NS-11394	Preclinical	GABA receptor agonist	GABRA3		
NS-1643	Preclinical	voltage-gated potassium channel activator	KCNH2 | KCNH6 | KCNMA1		
NS-19504	Preclinical	calcium-activated potassium channel activator	KCNMA1		
NS-309	Preclinical	calcium-activated potassium channel activator	KCNN1 | KCNN2 | KCNN3 | KCNN4		
NS-3623	Preclinical	voltage-gated potassium channel activator	KCNH2		
NS-3861	Preclinical	acetylcholine receptor agonist	CHRNA3 | CHRNB4		
NS-5806	Preclinical	voltage-gated potassium channel activator	KCND3		
NS-8	Phase 2	potassium channel agonist	KCNMA1 | KCNMB1		
NS-8593	Preclinical	calcium-activated potassium channel modulator	KCNN1 | KCNN2 | KCNN3		
NS-9283	Preclinical	acetylcholine receptor allosteric modulator	CHRNA4		
N-salicoylaminophenol	Phase 1/Phase 2	ribonucleotide reductase inhibitor			
NSC-23766	Preclinical	Ras GTPase inhibitor			
NSC-319726	Preclinical	p53 activator			
NSC-3852	Preclinical	HDAC inhibitor	HDAC1		
NSC-405020	Preclinical	matrix metalloprotease inhibitor	MMP1		
NSC-4644	Phase 2	ACAT inhibitor | sterol regulatory element binding protein (SREBP) inhibitor	PYGM | SOAT1		
NSC-5844	Preclinical	CC chemokine receptor agonist	CCR1		
NSC-625987	Preclinical	CDK inhibitor	CDK2 | CDK4		
NSC-632839	Preclinical	ubiquitin specific protease inhibitor	SENP2 | USP1 | USP2 | USP7		
NSC-636819	Preclinical	histone demethylase inhibitor	KDM4A | KDM4B		
NSC-663284	Preclinical	CDC inhibitor	CDC25A | CDC25B | CDC25C		
NSC-697923	Preclinical	ubiquitin-conjugating enzyme inhibitor	UBE2N		
NSC-95397	Preclinical	CDC inhibitor	CASP3 | CDC25A | CDC25B		
NSC-9965	Preclinical	acetylcholine receptor antagonist	CHRNA4 | CHRNB2		
NSI-189	Phase 2	neurotrophic agent			
NSP-805	Preclinical	phosphodiesterase inhibitor	PDE3A		
NT157	Preclinical	IGF-1 inhibitor	IGF1R		
NTNCB	Preclinical	neuropeptide receptor antagonist	NPY5R		
NTRC-824	Preclinical	neurotensin receptor antagonist	NTSR2		
nTZDpa	Preclinical	PPAR receptor agonist	PPARG		
NU-1025	Preclinical	PARP inhibitor	PARP1		
NU-2058	Preclinical	cyclin D inhibitor	CCNA2 | CDK2		
NU-6027	Preclinical	CDK inhibitor	ATR | CCNA2 | CDK1 | CDK2		
NU-7026	Preclinical	DNA dependent protein kinase inhibitor | mTOR inhibitor | PI3K inhibitor	PRKDC		
NU-7441	Preclinical	DNA dependent protein kinase inhibitor	ABCB1 | PRKDC		
nuclomedone	Phase 3	immunosuppressant			
nutlin-3	Preclinical	MDM inhibitor	MDM2 | TP53		
nuvenzepine	Preclinical	acetylcholine receptor antagonist	CHRM1 | CHRM2 | CHRM3 | CHRM4 | CHRM5		
NVP-231	Preclinical	ceramidase inhibitor	CERK		
NVP-ADW742	Preclinical	insulin growth factor receptor inhibitor	IGF1R		
